Wavelength (nm)	Spectral irradiance (W m-2 nm-1)	Cumulative photon flux (cm-2 s-1)
577	1,5	7,2006811285692E+016
578	1,45	7,24284599061398E+016
579	1,47	7,28566639275236E+016
580	1,5	7,32943614574003E+016
581	1,5	7,37328136381905E+016
582	1,53	7,41808046065283E+016
583	1,54	7,46324983953488E+016
584	1,54	7,50849669591073E+016
585	1,53	7,55352671592407E+016
586	1,49	7,59745444250298E+016
587	1,52	7,64234309124517E+016
588	1,49	7,68642074180558E+016
589	1,29	7,72464682918208E+016
590	1,37	7,76531245141188E+016
591	1,46	7,80872299056468E+016
592	1,43	7,85131347572472E+016
593	1,45	7,89457258159419E+016
594	1,44	7,9376057952902E+016
595	1,43	7,98041211061153E+016
596	1,47	8,02448976117193E+016
597	1,47	8,06864136752186E+016
598	1,46	8,11256607549712E+016
599	1,46	8,15656423616129E+016
600	1,47	8,20093770987982E+016
601	1,45	8,24478041245579E+016
602	1,43	8,28809033148678E+016
603	1,46	8,33238230290664E+016
604	1,49	8,37765934531903E+016
605	1,49	8,42301134972216E+016
606	1,48	8,46813343714696E+016
607	1,49	8,5136353655316E+016
608	1,48	8,55890637073668E+016
609	1,47	8,60394544656098E+016
610	1,46	8,64875158680329E+016
611	1,46	8,69363117973453E+016
612	1,48	8,73920002050017E+016
613	1,46	8,78422651880925E+016
614	1,41	8,82778195093745E+016
615	1,47	8,87326476149894E+016
616	1,43	8,91758188794926E+016
617	1,41	8,96135013163509E+016
618	1,46	9,00674389338878E+016
619	1,47	9,0525225271084E+016
620	1,47	9,09837511661754E+016
621	1,48	9,14461408739444E+016
622	1,42	9,18904994558849E+016
623	1,41	9,23324381238958E+016
624	1,41	9,27750861637655E+016
625	1,4	9,32152991966874E+016
626	1,4	9,3656216570462E+016
627	1,44	9,41104560483643E+016
628	1,36	9,45401442165448E+016
629	1,41	9,49863391157084E+016
630	1,39	9,54269043190566E+016
631	1,41	9,58745179619377E+016
632	1,36	9,63069429974314E+016
633	1,45	9,67687138914513E+016
634	1,42	9,722164530777E+016
635	1,44	9,76816805046886E+016
636	1,41	9,81328410068635E+016
637	1,46	9,86007346352956E+016
638	1,47	9,90725725725026E+016
639	1,46	9,9541935254713E+016
640	1,43	1,00002372932119E+017
641	1,43	1,00463530043396E+017
642	1,43	1,00925406588543E+017
643	1,45	1,01394472441395E+017
644	1,44	1,01861027822207E+017
645	1,45	1,02331552666824E+017
646	1,41	1,02789806887586E+017
647	1,4	1,03245515419267E+017
648	1,39	1,03698668199854E+017
649	1,35	1,04139459798476E+017
650	1,36	1,0458420073688E+017
651	1,44	1,05055827371831E+017
652	1,38	1,05508497175833E+017
653	1,43	1,05978287493561E+017
654	1,41	1,06442216689194E+017
655	1,35	1,06887083402749E+017
656	1,18	1,07276523522206E+017
657	1,24	1,07686389526389E+017
658	1,38	1,08143225003434E+017
659	1,39	1,08604070192334E+017
660	1,4	1,09068935155099E+017
661	1,39	1,09531178963691E+017
662	1,38	1,09990791556098E+017
663	1,38	1,10451098427346E+017
664	1,39	1,10915440165478E+017
665	1,42	1,11390518070607E+017
666	1,42	1,11866310378602E+017
667	1,41	1,12339461408398E+017
668	1,41	1,12813321810054E+017
669	1,44	1,13297988812791E+017
670	1,42	1,13776638732245E+017
671	1,41	1,14252627249477E+017
672	1,39	1,14722563466382E+017
673	1,41	1,15199970727331E+017
674	1,4	1,15674696462034E+017
675	1,39	1,16146730608478E+017
676	1,41	1,16626265985004E+017
677	1,4	1,17103104742265E+017
678	1,4	1,17580647840379E+017
679	1,39	1,18055479226209E+017
680	1,39	1,18531009921887E+017
681	1,39	1,19007239927411E+017
682	1,39	1,19484169242782E+017
683	1,38	1,19958361690839E+017
684	1,37	1,20429807209571E+017
685	1,37	1,20901941976137E+017
686	1,34	1,21364412180004E+017
687	0,965	1,21697945244279E+017
688	1,12	1,22085614449591E+017
689	1,12	1,22473847127586E+017
690	1,18	1,22883471643477E+017
691	1,23	1,2331107194413E+017
692	1,27	1,23753216883391E+017
693	1,26	1,24192514273204E+017
694	1,24	1,24625462533331E+017
695	1,27	1,25069524285912E+017
696	1,26	1,25510723396028E+017
697	1,34	1,25980609302872E+017
698	1,32	1,26444146080029E+017
699	1,29	1,26897796930219E+017
700	1,28	1,27348575075931E+017
701	1,26	1,27792943719884E+017
702	1,26	1,28237946270604E+017
703	1,27	1,28687119525373E+017
704	1,3	1,29147557202779E+017
705	1,32	1,29615742629564E+017
706	1,31	1,30081040258854E+017
707	1,31	1,30546996949941E+017
708	1,3	1,31010050750514E+017
709	1,31	1,31477325565197E+017
710	1,31	1,31945259441677E+017
711	1,31	1,32413852379956E+017
712	1,3	1,32879522303696E+017
713	1,29	1,33342259150885E+017
714	1,3	1,33809237136209E+017
715	1,26	1,34262480474905E+017
716	1,27	1,3471995992073E+017
717	1,1	1,3511675537109E+017
718	1,03	1,3548881839551E+017
719	0,921	1,35821971115724E+017
720	0,983	1,36178045602788E+017
721	1,08	1,36569799985046E+017
722	1,24	1,3702021589832E+017
723	1,14	1,37434881482314E+017
724	1,05	1,37817338565316E+017
725	1,04	1,38196676424543E+017
726	1,08	1,38591147550089E+017
727	1,08	1,38986162024294E+017
728	1,04	1,39367069557421E+017
729	1,04	1,39748500315181E+017
730	1,13	1,40163508007589E+017
731	1,07	1,40557018210973E+017
732	1,15	1,40980528303674E+017
733	1,19	1,41419367871933E+017
734	1,23	1,41873577163799E+017
735	1,21	1,42321009690461E+017
736	1,2	1,42765348148377E+017
737	1,2	1,43210290327024E+017
738	1,22	1,43663261991391E+017
739	1,19	1,44105693697999E+017
740	1,22	1,44559892927853E+017
741	1,21	1,45010977964936E+017
742	1,21	1,45462671753757E+017
743	1,24	1,4592618840689E+017
744	1,25	1,4639407197331E+017
745	1,25	1,46862584415491E+017
746	1,24	1,4732797260289E+017
747	1,24	1,47793984635044E+017
748	1,24	1,48260620511954E+017
749	1,23	1,48724112010056E+017
750	1,23	1,49188222321908E+017
751	1,23	1,49652951447509E+017
752	1,23	1,5011829938686E+017
753	1,22	1,50580477792373E+017
754	1,24	1,51050856737814E+017
755	1,23	1,51518061118411E+017
756	1,22	1,51982080872153E+017
757	1,22	1,52446714408639E+017
758	1,23	1,52915775230484E+017
759	1,19	1,53370180731587E+017
760	0,265	1,5347150519425E+017
761	0,154	1,53530465567028E+017
762	0,686	1,537934523546E+017
763	0,378	1,53938553613659E+017
764	0,537	1,54144959694335E+017
765	0,684	1,54408212119028E+017
766	0,812	1,54721136673054E+017
767	0,971	1,55095824373351E+017
768	1,11	1,55524707580557E+017
769	1,12	1,55958018073123E+017
770	1,16	1,5640738753713E+017
771	1,17	1,56861219503539E+017
772	1,17	1,5731564009766E+017
773	1,17	1,57770649319494E+017
774	1,17	1,58226247169041E+017
775	1,17	1,58682433646301E+017
776	1,18	1,59143112811999E+017
777	1,17	1,59600476544683E+017
778	1,17	1,6005842890508E+017
779	1,17	1,6051696989319E+017
780	1,16	1,60972175324262E+017
781	1,16	1,6142796435204E+017
782	1,16	1,61884336976525E+017
783	1,16	1,62341293197716E+017
784	1,15	1,62794888706839E+017
785	1,16	1,63253012121443E+017
786	1,16	1,63711719132754E+017
787	1,14	1,64163090937184E+017
788	1,13	1,6461107184351E+017
789	1,12	1,65055651789718E+017
790	1,09	1,65488871724175E+017
791	1,1	1,65926619564112E+017
792	1,09	1,66360936257896E+017
793	1,08	1,66791811743514E+017
794	1,09	1,67227225196625E+017
795	1,09	1,67663187029401E+017
796	1,07	1,68091687880144E+017
797	1,09	1,68528746472247E+017
798	1,11	1,68974382929734E+017
799	1,09	1,69412538281165E+017
800	1,07	1,69843192402515E+017
